#x, f(x), g(x)
0.0000E+00     0.0000E+00     1.0000E+01
5.0000E-01     2.5000E-01     1.0500E+01
1.0000E+00     1.0000E+00     1.1000E+01
1.5000E+00     2.2500E+00     1.1500E+01
2.0000E+00     4.0000E+00     1.2000E+01
2.5000E+00     6.2500E+00     1.2500E+01
3.0000E+00     9.0000E+00     1.3000E+01
3.5000E+00     1.2250E+01     1.3500E+01
4.0000E+00     1.6000E+01     1.4000E+01
4.5000E+00     2.0250E+01     1.4500E+01
5.0000E+00     2.5000E+01     1.5000E+01



#x, h(x), j(x)
0.0000E+00     0.0000E+00     3.1623E+00
5.0000E-01     7.0711E-01     3.2404E+00
1.0000E+00     1.0000E+00     3.3166E+00
1.5000E+00     1.2247E+00     3.3912E+00
2.0000E+00     1.4142E+00     3.4641E+00
2.5000E+00     1.5811E+00     3.5355E+00
3.0000E+00     1.7321E+00     3.6056E+00
3.5000E+00     1.8708E+00     3.6742E+00
4.0000E+00     2.0000E+00     3.7417E+00
4.5000E+00     2.1213E+00     3.8079E+00
5.0000E+00     2.2361E+00     3.8730E+00
